Customer ID,Gender,Age,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level
1381,Female,69,Los Angeles,Bronze,1280.64,16,2.7,True,78,Satisfied
2929,Male,34,Chicago,Bronze,127.08,50,2.5,TRUE,49,Unsatisfied
4406,Female,39,San Francisco,Silver,718.1,25,2.1,FALSE,44,Unsatisfied
2422,Female,32,Houston,Gold,806.19,49,4.7,FALSE,248,Neutral
4374,Male,62,Houston,Bronze,2928.32,38,3.4,FALSE,355,Unsatisfied
1113,Male,68,San Francisco,Silver,1482.36,29,4.2,True,101,Satisfied
330,Female,41,Chicago,Bronze,485.25,9,3.6,True,39,Unsatisfied
742,Male,66,Los Angeles,Gold,2607.71,21,3.4,False,162,Satisfied
5123,Male,39,New York,Gold,2741.48,14,2.3,TRUE,60,Neutral
5521,Male,40,Houston,Silver,2641.93,8,1.8,TRUE,60,Neutral
6333,Male,58,Los Angeles,Bronze,2349.14,36,3.9,FALSE,59,Satisfied
6328,Female,68,New York,Bronze,826.19,32,1.4,FALSE,236,Satisfied
5643,Female,59,Miami,Gold,2160.6,16,3.9,FALSE,281,Neutral
6198,Male,22,Miami,Gold,1181.05,34,2.2,TRUE,209,Neutral
4718,Female,29,Miami,Gold,1154.0,49,4.7,FALSE,321,Neutral
554,Male,29,Houston,Silver,1841.11,15,4.0,False,190,Satisfied
2400,Male,54,Chicago,Bronze,1361.42,1,4.8,FALSE,90,Unsatisfied
2618,Female,33,Chicago,Silver,2041.56,35,4.7,TRUE,280,Unsatisfied
4439,Female,62,Miami,Gold,1512.8,30,3.3,FALSE,181,Unsatisfied
1427,Male,52,New York,Silver,2247.73,26,2.1,False,299,Neutral
551,Male,33,Houston,Bronze,289.92,4,3.2,True,134,Neutral
5778,Male,39,Houston,Bronze,1112.99,12,2.2,FALSE,288,Neutral
4630,Female,26,Houston,Silver,2984.58,49,2.9,TRUE,296,Satisfied
1465,Male,59,Chicago,Gold,1202.4,4,1.6,TRUE,56,Satisfied
4555,Female,45,Miami,Bronze,2717.37,13,4.8,TRUE,44,Unsatisfied
3678,Female,31,San Francisco,Bronze,1644.7,37,3.1,FALSE,247,Neutral
2116,Female,36,New York,Bronze,506.98,25,2.2,FALSE,1,Neutral
6217,Male,33,Los Angeles,Gold,978.31,38,3.6,FALSE,150,Unsatisfied
5575,Female,44,New York,Silver,972.6,26,3.8,FALSE,254,Satisfied
321,Female,36,Houston,Bronze,470.5,8,3.0,False,18,Neutral
1751,Male,62,San Francisco,Silver,1660.69,23,3.6,FALSE,303,Unsatisfied
4031,Male,24,Houston,Gold,1940.64,47,2.5,FALSE,179,Neutral
5854,Male,45,Chicago,Silver,2073.94,22,4.3,FALSE,323,Satisfied
4743,Male,48,San Francisco,Bronze,1597.5,10,4.8,TRUE,283,Neutral
655,Male,26,New York,Gold,232.13,28,2.1,False,268,Satisfied
2588,Female,51,Los Angeles,Bronze,1698.79,2,4.4,TRUE,350,Neutral
5300,Female,64,New York,Gold,200.32,21,2.2,TRUE,98,Satisfied
6067,Male,53,Houston,Silver,2722.0,18,3.7,FALSE,124,Unsatisfied
5471,Male,70,Chicago,Silver,2735.84,10,4.3,FALSE,21,Neutral
3041,Male,62,Chicago,Gold,1951.0,50,2.4,TRUE,323,Unsatisfied
5784,Male,32,San Francisco,Silver,2262.58,15,2.9,TRUE,221,Satisfied
3385,Female,49,Chicago,Silver,2461.55,3,1.5,FALSE,222,Neutral
5496,Female,61,Chicago,Silver,2503.67,45,1.7,TRUE,108,Satisfied
3756,Male,56,San Francisco,Silver,2533.28,31,2.4,TRUE,62,Neutral
4738,Male,20,Miami,Bronze,2657.81,18,3.0,TRUE,89,Unsatisfied
3277,Female,47,San Francisco,Silver,2157.81,32,2.1,TRUE,187,Neutral
1841,Male,22,Chicago,Bronze,136.55,5,4.2,TRUE,241,Satisfied
4997,Male,24,Los Angeles,Gold,1042.35,25,4.6,FALSE,33,Neutral
3809,Female,36,Houston,Bronze,1699.85,3,4.9,FALSE,233,Neutral
555,Male,37,Miami,Bronze,254.17,48,2.0,True,59,Unsatisfied
3575,Female,65,Los Angeles,Silver,2151.14,46,2.3,TRUE,281,Neutral
1700,Female,41,Los Angeles,Gold,1811.46,20,3.9,FALSE,142,Satisfied
4840,Male,38,Chicago,Bronze,2082.41,26,2.1,TRUE,204,Unsatisfied
4953,Female,40,San Francisco,Silver,2005.82,38,2.1,FALSE,53,Satisfied
1663,Male,32,Miami,Bronze,241.45,46,4.0,TRUE,0,Unsatisfied
3179,Female,50,Miami,Silver,2468.99,47,3.7,TRUE,13,Neutral
2899,Male,65,Miami,Gold,1870.74,8,1.7,FALSE,40,Unsatisfied
1246,Male,64,Los Angeles,Gold,2469.73,21,1.9,True,204,Unsatisfied
2208,Male,36,Miami,Gold,2520.65,16,1.6,FALSE,21,Unsatisfied
3191,Male,43,Miami,Bronze,1952.69,13,1.6,FALSE,289,Neutral
4254,Male,61,Los Angeles,Bronze,269.17,41,5.0,TRUE,139,Neutral
1492,Female,59,Los Angeles,Silver,288.73,38,4.7,TRUE,67,Satisfied
2702,Male,47,Houston,Silver,2492.53,15,2.0,FALSE,68,Neutral
1248,Male,63,Houston,Gold,2432.29,24,2.4,False,191,Satisfied
4613,Male,51,Miami,Gold,2899.53,31,3.6,FALSE,167,Neutral
1031,Female,32,Los Angeles,Bronze,1566.25,21,4.6,True,229,Unsatisfied
1267,Female,57,Miami,Gold,128.17,1,4.1,True,143,Neutral
2653,Male,62,New York,Silver,1058.97,33,2.2,TRUE,278,Neutral
3645,Female,44,New York,Bronze,2869.91,13,3.9,TRUE,57,Neutral
5812,Male,62,New York,Gold,127.9,4,4.3,FALSE,325,Unsatisfied
3139,Male,30,San Francisco,Bronze,900.54,13,3.6,TRUE,181,Neutral
2840,Female,30,Chicago,Gold,2604.8,5,1.7,TRUE,173,Unsatisfied
2955,Male,37,Los Angeles,Gold,1890.64,2,2.7,FALSE,6,Satisfied
6101,Male,62,Chicago,Gold,1696.04,37,1.9,TRUE,181,Satisfied
3115,Male,57,Chicago,Silver,1748.45,14,3.7,TRUE,236,Unsatisfied
5527,Male,70,Houston,Silver,2450.43,34,1.5,FALSE,238,Neutral
3454,Male,49,Miami,Silver,918.27,30,3.6,TRUE,294,Neutral
3763,Female,36,Los Angeles,Bronze,2664.4,48,2.5,FALSE,49,Neutral
2372,Female,41,Chicago,Bronze,1526.7,21,2.2,FALSE,314,Neutral
2071,Female,57,Miami,Gold,1364.16,49,5.0,TRUE,99,Unsatisfied
1391,Female,63,Los Angeles,Silver,716.4,33,2.5,True,27,Neutral
1521,Male,24,Houston,Gold,1010.44,43,1.2,FALSE,312,Satisfied
3108,Male,50,New York,Gold,133.37,5,1.2,FALSE,231,Satisfied
3231,Male,70,Los Angeles,Gold,1569.13,5,1.6,TRUE,253,Satisfied
4484,Female,55,New York,Silver,2106.17,15,3.3,FALSE,324,Satisfied
2387,Female,54,San Francisco,Silver,1802.45,44,3.0,TRUE,102,Unsatisfied
4005,Female,47,New York,Gold,626.66,33,3.9,TRUE,67,Unsatisfied
217,Female,41,Chicago,Bronze,485.25,9,3.6,True,39,Unsatisfied
4781,Female,63,San Francisco,Bronze,1400.2,29,1.6,FALSE,253,Neutral
949,Female,63,Los Angeles,Silver,780.55,37,4.4,True,253,Unsatisfied
3687,Male,65,Miami,Bronze,889.98,11,2.3,FALSE,126,Unsatisfied
3661,Female,62,Chicago,Silver,1434.02,8,2.0,FALSE,145,Satisfied
293,Female,30,New York,Gold,1190.8,16,4.5,True,20,Satisfied
2191,Male,21,Houston,Silver,1996.67,32,4.8,TRUE,216,Neutral
6257,Male,21,Chicago,Silver,2468.69,50,4.6,FALSE,97,Unsatisfied
3625,Female,54,Miami,Bronze,2691.63,37,3.4,TRUE,235,Neutral
1495,Male,67,Houston,Gold,1620.99,7,4.5,TRUE,204,Unsatisfied
3381,Male,32,New York,Silver,2375.03,3,2.5,FALSE,356,Unsatisfied
141,Male,27,Miami,Silver,700.4,13,4.0,True,53,Unsatisfied
726,Male,56,Los Angeles,Silver,2671.82,40,1.6,False,80,Neutral
5016,Male,68,New York,Silver,1866.64,15,4.5,TRUE,66,Satisfied
3530,Female,57,Chicago,Bronze,1568.26,48,4.2,FALSE,339,Neutral
5730,Female,60,Los Angeles,Bronze,1410.14,10,3.4,FALSE,193,Neutral
3664,Male,29,Miami,Gold,2375.99,20,1.2,TRUE,120,Neutral
6118,Female,70,Los Angeles,Silver,2507.29,4,1.0,FALSE,273,Neutral
352,Female,30,New York,Gold,1170.8,16,4.7,True,21,Satisfied
4723,Female,46,San Francisco,Bronze,1730.71,33,3.6,TRUE,43,Unsatisfied
2603,Female,23,Houston,Gold,1366.19,2,1.2,TRUE,80,Unsatisfied
2078,Female,40,Houston,Gold,2114.84,15,4.0,TRUE,353,Satisfied
4102,Female,52,Houston,Bronze,907.72,29,3.6,FALSE,149,Satisfied
3070,Male,68,San Francisco,Gold,2281.68,27,3.3,FALSE,41,Unsatisfied
3086,Male,18,New York,Silver,1960.65,23,4.0,FALSE,155,Neutral
3909,Female,61,Miami,Bronze,2174.25,36,4.4,FALSE,32,Neutral
4236,Male,43,Los Angeles,Silver,423.2,39,2.0,FALSE,122,Unsatisfied
2248,Female,23,San Francisco,Bronze,251.55,20,1.4,TRUE,50,Satisfied
5522,Female,54,Los Angeles,Bronze,1338.94,37,2.3,TRUE,49,Unsatisfied
3207,Female,23,Miami,Gold,1166.95,4,4.6,TRUE,199,Neutral
3634,Male,60,San Francisco,Silver,2718.8,46,3.7,TRUE,215,Unsatisfied
4876,Male,47,San Francisco,Silver,1356.47,40,3.2,FALSE,203,Unsatisfied
6002,Female,37,San Francisco,Bronze,1968.83,3,3.1,FALSE,114,Satisfied
3492,Female,46,Miami,Gold,891.5,18,2.7,FALSE,12,Unsatisfied
128,Male,28,San Francisco,Gold,1500.1,21,4.9,False,10,Satisfied
715,Female,41,Chicago,Silver,2287.63,38,2.5,False,293,Unsatisfied
5886,Male,65,Miami,Gold,2983.91,3,3.4,FALSE,282,Unsatisfied
412,Female,30,New York,Gold,1200.8,16,4.7,True,25,Satisfied
2453,Female,67,New York,Silver,840.1,13,2.7,TRUE,206,Satisfied
3486,Female,44,Los Angeles,Gold,1322.19,44,1.4,TRUE,36,Unsatisfied
4979,Female,59,Los Angeles,Silver,884.69,11,4.4,FALSE,24,Unsatisfied
388,Female,30,New York,Gold,1200.8,16,4.7,True,24,Satisfied
3741,Male,59,Miami,Gold,1828.21,8,2.4,FALSE,219,Neutral
3591,Male,59,Chicago,Bronze,2046.92,19,2.6,FALSE,327,Unsatisfied
1435,Male,23,Los Angeles,Bronze,814.35,3,2.3,True,39,Satisfied
4591,Female,23,New York,Gold,2916.23,45,3.9,FALSE,245,Neutral
2772,Male,59,Houston,Bronze,1619.34,11,3.8,TRUE,43,Satisfied
4244,Female,34,New York,Silver,367.25,39,3.0,TRUE,308,Satisfied
4486,Male,68,San Francisco,Silver,2485.62,11,1.6,TRUE,191,Satisfied
2594,Male,57,New York,Silver,2082.02,27,1.5,FALSE,249,Neutral
4614,Male,67,Los Angeles,Silver,1251.58,23,1.3,FALSE,222,Unsatisfied
6043,Female,45,Chicago,Gold,2233.65,43,1.4,TRUE,126,Neutral
1558,Female,45,Chicago,Silver,408.83,24,3.6,FALSE,344,Neutral
5813,Male,30,New York,Silver,556.32,5,3.6,FALSE,184,Neutral
5021,Male,42,New York,Bronze,2469.49,8,1.1,FALSE,205,Neutral
945,Female,57,Houston,Bronze,1332.73,21,4.2,True,271,Unsatisfied
4023,Male,23,Houston,Gold,2229.48,40,3.9,TRUE,121,Unsatisfied
4485,Male,64,San Francisco,Silver,350.02,8,4.3,TRUE,220,Satisfied
1736,Male,54,Chicago,Gold,2559.01,49,4.1,TRUE,174,Satisfied
3986,Male,43,Chicago,Gold,2372.31,7,4.9,TRUE,89,Unsatisfied
5110,Male,28,Chicago,Bronze,1773.99,24,1.4,TRUE,334,Satisfied
3872,Female,38,San Francisco,Gold,522.65,25,4.0,FALSE,317,Unsatisfied
4629,Female,48,Chicago,Bronze,723.88,15,1.1,FALSE,107,Neutral
2303,Female,19,Chicago,Gold,2983.47,5,4.9,TRUE,122,Neutral
3854,Female,69,Los Angeles,Silver,159.25,32,1.0,TRUE,6,Unsatisfied
5365,Male,37,Los Angeles,Gold,2490.85,47,4.0,TRUE,253,Neutral
3767,Male,37,New York,Bronze,2447.86,39,2.3,TRUE,28,Neutral
5912,Female,38,Miami,Bronze,768.18,25,3.4,FALSE,356,Neutral
244,Female,37,Houston,Bronze,430.8,7,3.4,False,23,
2631,Male,54,Houston,Bronze,1331.31,6,2.5,FALSE,224,Unsatisfied
2832,Female,60,Chicago,Gold,1089.26,17,2.8,FALSE,147,Unsatisfied
4539,Female,27,Chicago,Gold,1871.49,14,2.9,FALSE,287,Satisfied
2108,Female,20,New York,Bronze,848.0,27,4.6,FALSE,156,Neutral
2181,Male,48,Miami,Gold,1951.38,9,1.6,TRUE,140,Unsatisfied
358,Female,31,New York,Gold,1160.6,15,4.5,True,29,Satisfied
6402,Male,36,Los Angeles,Gold,1761.66,15,1.1,FALSE,143,Unsatisfied
6099,Male,52,Houston,Bronze,697.54,42,1.8,TRUE,288,Neutral
5568,Female,42,New York,Bronze,2510.62,9,4.4,FALSE,16,Satisfied
919,Female,51,Houston,Bronze,1733.48,41,1.6,False,204,Unsatisfied
6070,Male,47,New York,Gold,2968.34,25,3.7,FALSE,267,Unsatisfied
3620,Female,26,Los Angeles,Bronze,2409.26,13,4.3,FALSE,353,Unsatisfied
1903,Male,22,Houston,Silver,1068.9,27,2.1,TRUE,194,Neutral
734,Female,42,Miami,Silver,496.28,27,3.2,True,226,Unsatisfied
5311,Male,56,Miami,Silver,1046.84,32,1.7,FALSE,310,Neutral
2906,Female,65,Los Angeles,Bronze,2447.06,18,4.5,TRUE,252,Neutral
139,Female,43,Chicago,Bronze,500.75,10,3.3,True,40,Unsatisfied
4516,Male,69,San Francisco,Gold,2060.7,49,1.5,TRUE,159,Satisfied
2812,Male,53,Los Angeles,Silver,2825.63,1,2.6,FALSE,254,Satisfied
6412,Male,33,San Francisco,Bronze,1726.27,3,4.3,TRUE,322,Unsatisfied
3022,Male,34,New York,Bronze,1870.42,29,1.6,FALSE,344,Unsatisfied
3882,Male,57,Miami,Bronze,1845.76,22,3.3,TRUE,84,Unsatisfied
2126,Male,51,Chicago,Bronze,1022.43,5,3.2,FALSE,243,Satisfied
2008,Male,42,Chicago,Bronze,799.79,10,4.7,TRUE,276,Satisfied
1844,Female,60,Miami,Gold,2879.27,39,1.7,FALSE,180,Neutral
2608,Female,24,Miami,Silver,1163.12,8,1.8,TRUE,78,Unsatisfied
987,Male,48,Chicago,Bronze,2680.93,11,3.9,False,241,Neutral
2183,Male,45,Chicago,Silver,270.97,41,4.5,FALSE,10,Neutral
4908,Female,29,Miami,Silver,773.8,22,2.8,TRUE,337,Satisfied
1606,Female,27,Los Angeles,Silver,1850.49,27,3.0,FALSE,325,Satisfied
365,Male,34,Los Angeles,Silver,780.2,11,4.1,False,16,Neutral
2385,Female,68,Houston,Bronze,1524.98,43,2.0,FALSE,201,Satisfied
1848,Female,62,Los Angeles,Bronze,2829.7,42,4.6,TRUE,209,Unsatisfied
3174,Male,25,Los Angeles,Gold,2032.38,25,2.3,FALSE,26,Satisfied
4560,Male,51,Miami,Bronze,2190.7,2,1.2,TRUE,189,Satisfied
1027,Female,48,Miami,Gold,2780.66,49,1.8,True,72,Satisfied
5225,Female,29,Chicago,Silver,2311.07,47,2.2,TRUE,216,Unsatisfied
4423,Female,36,Miami,Gold,774.66,37,1.5,FALSE,283,Unsatisfied
2434,Male,61,Chicago,Bronze,1331.14,49,3.3,FALSE,56,Satisfied
2189,Female,67,Chicago,Gold,2549.29,41,4.9,FALSE,292,Satisfied
3380,Male,64,Chicago,Bronze,2543.31,15,2.8,TRUE,66,Satisfied
5549,Male,51,Chicago,Bronze,867.41,27,1.5,FALSE,302,Unsatisfied
4916,Female,64,New York,Silver,1891.45,49,3.4,FALSE,11,Unsatisfied
2393,Male,21,San Francisco,Bronze,1293.74,47,1.8,FALSE,48,Satisfied
3450,Male,63,Los Angeles,Bronze,1595.11,24,2.9,FALSE,233,Unsatisfied
5149,Male,61,New York,Gold,2487.63,49,3.2,FALSE,11,Neutral
3870,Female,57,Miami,Silver,1146.88,41,4.8,TRUE,341,Unsatisfied
1173,Female,35,San Francisco,Bronze,877.83,7,1.8,True,88,Satisfied
4220,Female,67,San Francisco,Silver,1775.35,18,3.0,FALSE,92,Unsatisfied
4453,Female,24,Los Angeles,Silver,1821.55,31,4.9,FALSE,288,Satisfied
2307,Female,20,Los Angeles,Bronze,2792.67,1,1.4,FALSE,195,Neutral
4460,Female,59,Chicago,Gold,1150.74,47,2.1,FALSE,159,Unsatisfied
3488,Male,55,Miami,Silver,1952.76,31,1.1,FALSE,298,Unsatisfied
4937,Male,38,Chicago,Gold,1724.58,23,2.3,FALSE,324,Unsatisfied
3063,Male,19,Houston,Gold,579.46,42,3.3,FALSE,70,Neutral
6370,Female,19,New York,Bronze,1053.4,32,2.2,FALSE,330,Unsatisfied
3996,Male,29,Miami,Bronze,167.34,35,3.0,FALSE,243,Unsatisfied
4746,Female,54,New York,Silver,244.26,22,3.9,FALSE,282,Unsatisfied
4331,Female,44,Chicago,Gold,2089.41,42,2.4,FALSE,18,Neutral
1299,Male,23,Miami,Silver,2512.34,10,2.5,True,42,Unsatisfied
6363,Male,61,Chicago,Gold,164.65,27,3.8,TRUE,345,Satisfied
1020,Male,26,Los Angeles,Silver,1426.78,26,2.0,True,6,Unsatisfied
1723,Female,38,New York,Bronze,2611.75,9,1.0,FALSE,120,Satisfied
3319,Female,65,Los Angeles,Silver,2263.26,39,1.1,FALSE,205,Unsatisfied
3897,Female,45,Chicago,Gold,1640.68,5,2.7,FALSE,162,Satisfied
2733,Female,70,Houston,Silver,1098.35,31,3.6,FALSE,157,Neutral
3922,Female,20,Houston,Silver,2756.0,4,4.3,TRUE,93,Satisfied
3190,Male,34,Miami,Gold,256.91,12,4.0,TRUE,193,Unsatisfied
3359,Female,27,San Francisco,Silver,378.28,2,3.0,TRUE,101,Unsatisfied
1273,Female,56,Los Angeles,Silver,1041.66,36,3.8,False,219,Neutral
802,Female,34,New York,Silver,504.67,27,3.8,True,98,Neutral
1468,Male,49,Los Angeles,Bronze,2475.4,9,1.6,TRUE,123,Satisfied
4133,Female,40,New York,Gold,615.98,16,3.1,FALSE,94,Neutral
322,Female,30,New York,Gold,1180.8,16,4.7,True,19,Satisfied
3025,Female,67,Chicago,Silver,447.48,47,2.1,FALSE,0,Unsatisfied
5276,Female,64,Los Angeles,Gold,2923.55,22,4.8,TRUE,253,Unsatisfied
4881,Male,26,Los Angeles,Silver,2583.85,9,4.6,FALSE,44,Neutral
5571,Male,23,Chicago,Silver,2093.64,24,1.6,TRUE,322,Satisfied
2224,Female,69,San Francisco,Gold,869.39,26,4.9,TRUE,324,Neutral
1032,Male,39,Miami,Gold,1058.22,23,4.5,False,280,Unsatisfied
3072,Male,70,Los Angeles,Bronze,1416.43,4,3.1,FALSE,74,Neutral
916,Male,45,New York,Bronze,240.99,28,3.9,True,87,Neutral
4593,Male,46,Chicago,Gold,405.6,2,2.5,TRUE,322,Unsatisfied
1857,Male,60,Miami,Silver,1594.28,36,1.5,FALSE,268,Satisfied
2528,Female,60,Los Angeles,Gold,973.66,47,2.1,TRUE,171,Satisfied
2004,Female,52,Los Angeles,Gold,408.92,10,1.7,TRUE,104,Satisfied
3815,Male,39,Houston,Bronze,2430.17,4,1.3,TRUE,135,Satisfied
1605,Female,38,New York,Gold,1008.71,31,2.3,TRUE,258,Unsatisfied
5814,Female,46,San Francisco,Silver,660.82,24,4.7,TRUE,318,Satisfied
881,Female,26,Houston,Gold,1692.55,11,1.1,True,247,Unsatisfied
2419,Female,60,Miami,Silver,1057.99,3,2.0,FALSE,339,Unsatisfied
3112,Male,49,Chicago,Bronze,2273.42,11,3.4,FALSE,326,Neutral
3553,Female,48,Miami,Silver,1635.39,14,3.5,FALSE,295,Neutral
503,Male,31,Los Angeles,Gold,866.03,15,2.8,True,324,Unsatisfied
6261,Male,36,Houston,Silver,1692.7,20,2.9,TRUE,108,Satisfied
3094,Male,18,Miami,Gold,2325.55,30,3.0,FALSE,171,Unsatisfied
381,Female,37,Houston,Bronze,430.8,7,3.4,False,27,Neutral
1560,Female,57,Los Angeles,Bronze,2609.44,18,2.4,FALSE,14,Satisfied
887,Female,34,San Francisco,Silver,716.95,13,2.8,True,55,Neutral
3774,Female,54,Miami,Silver,2766.79,3,4.7,TRUE,184,Unsatisfied
2510,Female,68,Chicago,Silver,419.43,19,1.7,FALSE,19,Satisfied
618,Male,33,Houston,Silver,2385.3,29,4.5,True,129,Satisfied
5865,Female,66,Houston,Silver,426.59,37,2.9,FALSE,194,Satisfied
2401,Female,39,Los Angeles,Silver,2668.81,50,2.1,FALSE,327,Unsatisfied
175,Female,41,Chicago,Bronze,480.25,9,3.6,True,38,Unsatisfied
4478,Female,23,Miami,Gold,273.39,25,4.2,TRUE,167,Unsatisfied
4316,Female,27,San Francisco,Gold,1746.73,17,2.2,FALSE,260,Satisfied
1232,Male,53,New York,Silver,710.68,26,3.4,True,227,Satisfied
2965,Male,52,New York,Bronze,1519.26,2,2.9,FALSE,123,Unsatisfied
4800,Male,28,Los Angeles,Silver,1636.07,41,4.7,TRUE,231,Satisfied
2039,Female,51,Los Angeles,Silver,2005.67,26,1.2,FALSE,197,Satisfied
5590,Male,53,Houston,Gold,632.82,18,2.0,FALSE,284,Neutral
768,Female,30,New York,Bronze,1027.9,41,3.0,False,139,Satisfied
5055,Female,36,Chicago,Bronze,2809.41,7,3.9,FALSE,58,Neutral
2701,Female,48,San Francisco,Silver,2143.96,8,1.2,TRUE,213,Unsatisfied
3004,Female,36,New York,Bronze,1226.36,19,1.1,FALSE,76,Satisfied
5378,Male,37,New York,Bronze,1449.52,28,2.9,FALSE,307,Satisfied
2831,Female,45,Chicago,Gold,2323.97,36,3.2,TRUE,274,Satisfied
705,Female,42,Chicago,Bronze,2729.93,14,3.2,False,278,Neutral
6406,Male,47,Chicago,Gold,2518.45,17,2.3,FALSE,284,Neutral
928,Female,22,Los Angeles,Gold,1968.76,49,4.3,False,256,Unsatisfied
3201,Male,19,Miami,Bronze,270.37,31,1.9,TRUE,307,Unsatisfied
1329,Male,20,Chicago,Bronze,198.68,18,1.0,True,207,Unsatisfied
5744,Male,30,Miami,Silver,1429.72,24,3.9,FALSE,45,Unsatisfied
5752,Female,58,Los Angeles,Silver,1453.96,25,2.9,TRUE,229,Satisfied
5578,Female,51,Houston,Silver,1071.3,35,4.9,TRUE,88,Unsatisfied
3239,Male,69,New York,Silver,754.05,14,4.6,TRUE,3,Satisfied
5147,Female,67,Miami,Bronze,1243.48,38,3.0,TRUE,148,Satisfied
2026,Male,25,Miami,Gold,169.46,49,4.3,FALSE,257,Neutral
3435,Female,56,New York,Bronze,2670.31,14,4.2,TRUE,68,Neutral
2304,Female,23,Houston,Silver,1022.66,30,2.3,TRUE,219,Satisfied
4790,Male,69,Houston,Gold,2401.02,30,3.5,TRUE,282,Neutral
1601,Male,59,Houston,Gold,2938.32,15,1.5,TRUE,22,Satisfied
4917,Female,41,Los Angeles,Gold,2599.19,22,2.7,FALSE,94,Satisfied
585,Male,20,Los Angeles,Bronze,2478.87,5,1.9,False,282,Satisfied
4032,Female,21,Houston,Silver,275.97,35,1.4,FALSE,25,Unsatisfied
2249,Male,69,Miami,Bronze,574.89,37,1.0,TRUE,274,Unsatisfied
1043,Female,48,Chicago,Silver,1075.43,48,4.8,True,120,Neutral
1975,Male,28,Los Angeles,Gold,1186.33,14,2.8,FALSE,61,Satisfied
1077,Male,42,New York,Silver,2906.44,47,4.2,True,236,Unsatisfied
